BGC0001106.0_reference vs CP107782.region017
--------------------------------------------
Query       Target                   Identity  Similarity
PRJNA747871_OG424_11665  PRJNA747871_OG229_11990  0.99      1.00      
PRJNA747871_OG424_11670  PRJNA747871_OG229_11995  1.00      1.00      
PRJNA747871_OG424_11675  PRJNA747871_OG229_12000  1.00      1.00      
PRJNA747871_OG424_11680  PRJNA747871_OG229_12005  1.00      1.00      
PRJNA747871_OG424_11685  PRJNA747871_OG229_12010  1.00      1.00      
PRJNA747871_OG424_11690  PRJNA747871_OG229_12015  0.99      0.99      
PRJNA747871_OG424_11690  PRJNA747871_OG229_12110  0.99      0.99      
OG424_11695              OG229_12020              1.00      1.00      
OG424_11695              PRJNA747871_OG229_12115  0.30      0.31      
PRJNA747871_OG424_11700  PRJNA747871_OG229_12025  1.00      1.00      
PRJNA747871_OG424_11705  PRJNA747871_OG229_12030  1.00      1.00      
PRJNA747871_OG424_11710  PRJNA747871_OG229_12035  1.00      1.00      
PRJNA747871_OG424_11715  PRJNA747871_OG229_12040  1.00      1.00      
PRJNA747871_OG424_11720  PRJNA747871_OG229_12045  1.00      1.00      
PRJNA747871_OG424_11725  PRJNA747871_OG229_12050  1.00      1.00      
PRJNA747871_OG424_11730  PRJNA747871_OG229_12055  1.00      1.00      
PRJNA747871_OG424_11735  PRJNA747871_OG229_12060  1.00      1.00      
PRJNA747871_OG424_11740  PRJNA747871_OG229_12065  1.00      1.00      
PRJNA747871_OG424_11745  PRJNA747871_OG229_12070  1.00      1.00      
OG424_11750              OG229_12075              1.00      1.00      
PRJNA747871_OG424_11755  PRJNA747871_OG229_11980  0.32      0.53      
PRJNA747871_OG424_11755  PRJNA747871_OG229_12080  0.99      0.99      
PRJNA747871_OG424_11760  PRJNA747871_OG229_12085  1.00      1.00      
PRJNA747871_OG424_11765  PRJNA747871_OG229_12090  1.00      1.00      
PRJNA747871_OG424_11770  PRJNA747871_OG229_12095  1.00      1.00      
PRJNA747871_OG424_11775  PRJNA747871_OG229_12100  1.00      1.00      
PRJNA747871_OG424_11780  PRJNA747871_OG229_12105  1.00      1.00      
PRJNA747871_OG424_11785  PRJNA747871_OG229_12015  0.97      0.98      
PRJNA747871_OG424_11785  PRJNA747871_OG229_12110  0.96      0.97      
PRJNA747871_OG424_11790  OG229_12020              0.30      0.31      
PRJNA747871_OG424_11790  PRJNA747871_OG229_12115  1.00      1.00      
PRJNA747871_OG424_11795  PRJNA747871_OG229_12120  1.00      1.00      
PRJNA747871_OG424_11800  PRJNA747871_OG229_12125  1.00      1.00      
PRJNA747871_OG424_11805  PRJNA747871_OG229_12130  0.99      1.00      
PRJNA747871_OG424_11810  PRJNA747871_OG229_12135  1.00      1.00      
PRJNA747871_OG424_11815  PRJNA747871_OG229_12140  0.98      0.99      
PRJNA747871_OG424_11820  PRJNA747871_OG229_12145  0.85      0.90      
PRJNA747871_OG424_11825  PRJNA747871_OG229_12150  0.86      0.94      
PRJNA747871_OG424_11830  PRJNA747871_OG229_12155  0.99      0.99      
PRJNA747871_OG424_11835  PRJNA747871_OG229_12160  0.99      0.99      
PRJNA747871_OG424_11840  PRJNA747871_OG229_12165  1.00      1.00      

CP107782.region017 vs CP108974.region019
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG424_11615  PRJNA747871_OG301_26485  1.00      1.00      
PRJNA747871_OG424_11620  PRJNA747871_OG301_26480  0.87      0.87      
PRJNA747871_OG424_11625  PRJNA747871_OG301_26475  1.00      1.00      
PRJNA747871_OG424_11630  PRJNA747871_OG301_26470  1.00      1.00      
PRJNA747871_OG424_11635  PRJNA747871_OG301_26465  1.00      1.00      
PRJNA747871_OG424_11640  PRJNA747871_OG301_26460  1.00      1.00      
PRJNA747871_OG424_11645  PRJNA747871_OG301_26455  1.00      1.00      
PRJNA747871_OG424_11650  PRJNA747871_OG301_26450  1.00      1.00      
PRJNA747871_OG424_11655  PRJNA747871_OG301_26345  0.32      0.53      
PRJNA747871_OG424_11655  PRJNA747871_OG301_26445  1.00      1.00      
PRJNA747871_OG424_11660  PRJNA747871_OG301_26440  1.00      1.00      
PRJNA747871_OG424_11665  PRJNA747871_OG301_26435  1.00      1.00      
PRJNA747871_OG424_11670  PRJNA747871_OG301_26430  1.00      1.00      
PRJNA747871_OG424_11675  PRJNA747871_OG301_26425  1.00      1.00      
PRJNA747871_OG424_11680  PRJNA747871_OG301_26420  1.00      1.00      
PRJNA747871_OG424_11685  PRJNA747871_OG301_26415  0.99      1.00      
PRJNA747871_OG424_11690  PRJNA747871_OG301_26315  0.96      0.97      
PRJNA747871_OG424_11690  PRJNA747871_OG301_26410  0.97      0.97      
OG424_11695              PRJNA747871_OG301_26310  0.30      0.31      
OG424_11695              OG301_26405              1.00      1.00      
PRJNA747871_OG424_11700  PRJNA747871_OG301_26400  0.98      1.00      
PRJNA747871_OG424_11705  PRJNA747871_OG301_26395  1.00      1.00      
PRJNA747871_OG424_11710  PRJNA747871_OG301_26390  1.00      1.00      
PRJNA747871_OG424_11715  PRJNA747871_OG301_26385  1.00      1.00      
PRJNA747871_OG424_11720  PRJNA747871_OG301_26380  1.00      1.00      
PRJNA747871_OG424_11725  PRJNA747871_OG301_26375  1.00      1.00      
PRJNA747871_OG424_11730  OG301_26370              0.89      0.89      
PRJNA747871_OG424_11735  PRJNA747871_OG301_26365  1.00      1.00      
PRJNA747871_OG424_11740  PRJNA747871_OG301_26360  1.00      1.00      
PRJNA747871_OG424_11745  PRJNA747871_OG301_26355  1.00      1.00      
OG424_11750              OG301_26350              1.00      1.00      
PRJNA747871_OG424_11755  PRJNA747871_OG301_26345  1.00      1.00      
PRJNA747871_OG424_11755  PRJNA747871_OG301_26445  0.32      0.53      
PRJNA747871_OG424_11760  PRJNA747871_OG301_26340  1.00      1.00      
PRJNA747871_OG424_11765  PRJNA747871_OG301_26335  0.99      0.99      
PRJNA747871_OG424_11770  PRJNA747871_OG301_26330  1.00      1.00      
PRJNA747871_OG424_11775  PRJNA747871_OG301_26325  1.00      1.00      
PRJNA747871_OG424_11780  PRJNA747871_OG301_26320  1.00      1.00      
PRJNA747871_OG424_11785  PRJNA747871_OG301_26315  0.99      0.99      
PRJNA747871_OG424_11785  PRJNA747871_OG301_26410  1.00      1.00      
PRJNA747871_OG424_11790  PRJNA747871_OG301_26310  1.00      1.00      
PRJNA747871_OG424_11790  OG301_26405              0.30      0.31      
PRJNA747871_OG424_11795  PRJNA747871_OG301_26305  1.00      1.00      
PRJNA747871_OG424_11800  PRJNA747871_OG301_26300  1.00      1.00      
PRJNA747871_OG424_11805  PRJNA747871_OG301_26295  1.00      1.00      
PRJNA747871_OG424_11810  PRJNA747871_OG301_26290  1.00      1.00      
PRJNA747871_OG424_11815  PRJNA747871_OG301_26285  1.00      1.00      
PRJNA747871_OG424_11820  PRJNA747871_OG301_26280  1.00      1.00      
PRJNA747871_OG424_11825  PRJNA747871_OG301_26275  1.00      1.00      
PRJNA747871_OG424_11830  PRJNA747871_OG301_26270  0.99      0.99      
PRJNA747871_OG424_11835  PRJNA747871_OG301_26265  0.99      0.99      
PRJNA747871_OG424_11840  PRJNA747871_OG301_26260  0.99      1.00      

CP107963.region022 vs CP108368.region015
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OHT02_27235  PRJNA747871_OG229_12165  1.00      1.00      
PRJNA747871_OHT02_27240  PRJNA747871_OG229_12160  1.00      1.00      
PRJNA747871_OHT02_27245  PRJNA747871_OG229_12155  1.00      1.00      
PRJNA747871_OHT02_27250  PRJNA747871_OG229_12150  0.86      0.94      
PRJNA747871_OHT02_27255  PRJNA747871_OG229_12145  0.85      0.90      
PRJNA747871_OHT02_27260  PRJNA747871_OG229_12140  0.98      0.99      
PRJNA747871_OHT02_27265  PRJNA747871_OG229_12135  1.00      1.00      
PRJNA747871_OHT02_27270  PRJNA747871_OG229_12130  0.99      1.00      
PRJNA747871_OHT02_27275  PRJNA747871_OG229_12125  1.00      1.00      
PRJNA747871_OHT02_27280  PRJNA747871_OG229_12120  1.00      1.00      
PRJNA747871_OHT02_27285  OG229_12020              0.30      0.31      
PRJNA747871_OHT02_27285  PRJNA747871_OG229_12115  1.00      1.00      
PRJNA747871_OHT02_27290  PRJNA747871_OG229_12015  0.96      0.97      
PRJNA747871_OHT02_27290  PRJNA747871_OG229_12110  0.97      0.98      
PRJNA747871_OHT02_27295  PRJNA747871_OG229_12105  1.00      1.00      
PRJNA747871_OHT02_27300  PRJNA747871_OG229_12100  1.00      1.00      
PRJNA747871_OHT02_27305  PRJNA747871_OG229_12095  1.00      1.00      
PRJNA747871_OHT02_27310  PRJNA747871_OG229_12090  1.00      1.00      
PRJNA747871_OHT02_27315  PRJNA747871_OG229_12085  1.00      1.00      
PRJNA747871_OHT02_27320  PRJNA747871_OG229_11980  0.32      0.53      
PRJNA747871_OHT02_27320  PRJNA747871_OG229_12080  1.00      1.00      
OHT02_27325              OG229_12075              1.00      1.00      
PRJNA747871_OHT02_27330  PRJNA747871_OG229_12070  1.00      1.00      
PRJNA747871_OHT02_27335  PRJNA747871_OG229_12065  0.99      0.99      
PRJNA747871_OHT02_27340  PRJNA747871_OG229_12060  1.00      1.00      
PRJNA747871_OHT02_27345  PRJNA747871_OG229_12055  1.00      1.00      
PRJNA747871_OHT02_27350  PRJNA747871_OG229_12050  1.00      1.00      
PRJNA747871_OHT02_27355  PRJNA747871_OG229_12045  1.00      1.00      
