genome_id,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,genome_id
NBC_01768,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01768
NBC_00822,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00822
NBC_00825,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00825
NBC_00826,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00826
NBC_00984,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00984
NBC_00987,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00987
NBC_01005,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01005
NBC_01010,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01010
NBC_01014,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp940670765,s__Streptomyces sp940670765,NBC_01014
NBC_01080,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01080
NBC_01116,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01116
NBC_01196,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01196
NBC_01237,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp001905125,s__Streptomyces sp001905125,NBC_01237
NBC_01243,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01243
NBC_01267,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp940670765,s__Streptomyces sp940670765,NBC_01267
NBC_01300,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,sp001625365,s__Kitasatospora sp001625365,NBC_01300
NBC_01333,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01333
NBC_00053,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00053
NBC_00257,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00257
NBC_00501,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_00501
NBC_00502,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_00502
NBC_00535,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_00535
NBC_00240,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_00240
NBC_01166,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01166
NBC_00039,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_00039
NBC_00085,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_00085
NBC_00465,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,coelicoflavus,s__Streptomyces coelicoflavus,NBC_00465
NBC_00299,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00299
NBC_00302,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,bobili,s__Streptomyces bobili,NBC_00302
NBC_01286,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,sp023023025,s__Amycolatopsis sp023023025,NBC_01286
NBC_01307,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,sp023023025,s__Amycolatopsis sp023023025,NBC_01307
NBC_00348,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,sp023023025,s__Amycolatopsis sp023023025,NBC_00348
NBC_00355,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,s__,s__,NBC_00355
NBC_00438,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,s__,s__,NBC_00438
NBC_00516,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Lentzea,s__,s__,NBC_00516
NBC_01571,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01571
NBC_01454,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01454
NBC_01456,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01456
NBC_01699,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Micromonospora_G,s__,s__,NBC_01699
NBC_01233,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01233
NBC_01224,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01224
NBC_01485,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01485
NBC_01788,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp002803075,s__Streptomyces sp002803075,NBC_01788
NBC_00209,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp001905735,s__Streptomyces sp001905735,NBC_00209
NBC_00441,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp001905735,s__Streptomyces sp001905735,NBC_00441
NBC_01361,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp002803065,s__Streptomyces sp002803065,NBC_01361
NBC_01445,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp002803065,s__Streptomyces sp002803065,NBC_01445
NBC_00734,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,platensis,s__Streptomyces platensis,NBC_00734
NBC_01337,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,platensis,s__Streptomyces platensis,NBC_01337
NBC_00375,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,platensis,s__Streptomyces platensis,NBC_00375
NBC_00573,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,platensis,s__Streptomyces platensis,NBC_00573
NBC_01250,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_01250
NBC_01302,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_01302
NBC_01548,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,albogriseolus,s__Streptomyces albogriseolus,NBC_01548
NBC_01458,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,albogriseolus,s__Streptomyces albogriseolus,NBC_01458
NBC_01294,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01294
NBC_00488,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,virginiae_A,s__Streptomyces virginiae_A,NBC_00488
NBC_01565,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01565
NBC_00909,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,goshikiensis,s__Streptomyces goshikiensis,NBC_00909
NBC_01191,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,goshikiensis,s__Streptomyces goshikiensis,NBC_01191
NBC_00283,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,goshikiensis,s__Streptomyces goshikiensis,NBC_00283
NBC_01669,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01669
NBC_00841,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00841
NBC_01320,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_01320
NBC_00196,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,hainanensis,s__Microbispora hainanensis,NBC_00196
NBC_00253,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,hainanensis,s__Microbispora hainanensis,NBC_00253
NBC_00254,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,hainanensis,s__Microbispora hainanensis,NBC_00254
NBC_00150,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00150
NBC_00648,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00648
NBC_00668,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,melanogenes,s__Streptomyces melanogenes,NBC_00668
NBC_00027,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,melanogenes,s__Streptomyces melanogenes,NBC_00027
NBC_00060,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00060
NBC_00224,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00224
NBC_01287,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_01287
NBC_01447,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,niveus,s__Streptomyces niveus,NBC_01447
NBC_00843,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,niveus,s__Streptomyces niveus,NBC_00843
NBC_01560,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_01560
NBC_01796,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Micromonospora_G,s__,s__,NBC_01796
NBC_01811,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Streptosporangium,subroseum,s__Streptosporangium subroseum,NBC_01811
NBC_01103,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,diastaticus,s__Streptomyces diastaticus,NBC_01103
NBC_00468,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Micromonospora,aurantiaca,s__Micromonospora aurantiaca,NBC_00468
NBC_01432,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,niveus,s__Streptomyces niveus,NBC_01432
NBC_01507,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,niveus,s__Streptomyces niveus,NBC_01507
NBC_01536,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,niveus,s__Streptomyces niveus,NBC_01536
NBC_01542,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,niveus,s__Streptomyces niveus,NBC_01542
NBC_01499,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Nocardia,s__,s__,NBC_01499
NBC_00280,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00280
NBC_00315,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__,s__,NBC_00315
NBC_00459,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,s__,NBC_00459
